Point ID,Acceleration_0,Acceleration_1,Acceleration_2,Acceleration_Magnitude,Displacement_0,Displacement_1,Displacement_2,Displacement_Magnitude,ExtraDof1,Points_0,Points_1,Points_2,Points_Magnitude,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
0,0,0,0,0,0,0,0,0,458,0.05,1.4,0.05,1.40178,0,0,0,0
1,0,0,0,0,0,0,0,0,454.15,0.05,1.41,0.05,1.41177,0,0,0,0
2,0,0,0,0,0,0,0,0,450.2,0.05,1.42,0.05,1.42176,0,0,0,0
3,0,0,0,0,0,0,0,0,446.15,0.05,1.43,0.05,1.43175,0,0,0,0
4,0,0,0,0,0,0,0,0,442,0.05,1.44,0.05,1.44174,0,0,0,0
5,0,0,0,0,0,0,0,0,437.75,0.05,1.45,0.05,1.45172,0,0,0,0
6,0,0,0,0,0,0,0,0,433.4,0.05,1.46,0.05,1.46171,0,0,0,0
7,0,0,0,0,0,0,0,0,428.95,0.05,1.47,0.05,1.4717,0,0,0,0
8,0,0,0,0,0,0,0,0,424.4,0.05,1.48,0.05,1.48169,0,0,0,0
9,0,0,0,0,0,0,0,0,419.75,0.05,1.49,0.05,1.49168,0,0,0,0
10,0,0,0,0,0,0,0,0,415,0.05,1.5,0.05,1.50167,0,0,0,0
11,0,0,0,0,0,0,0,0,410.15,0.05,1.51,0.05,1.51165,0,0,0,0
12,0,0,0,0,0,0,0,0,405.2,0.05,1.52,0.05,1.52164,0,0,0,0
13,0,0,0,0,0,0,0,0,400.15,0.05,1.53,0.05,1.53163,0,0,0,0
14,0,0,0,0,0,0,0,0,395,0.05,1.54,0.05,1.54162,0,0,0,0
15,0,0,0,0,0,0,0,0,389.75,0.05,1.55,0.05,1.55161,0,0,0,0
16,0,0,0,0,0,0,0,0,384.4,0.05,1.56,0.05,1.5616,0,0,0,0
17,0,0,0,0,0,0,0,0,378.95,0.05,1.57,0.05,1.57159,0,0,0,0
18,0,0,0,0,0,0,0,0,373.4,0.05,1.58,0.05,1.58158,0,0,0,0
19,0,0,0,0,0,0,0,0,367.75,0.05,1.59,0.05,1.59157,0,0,0,0
20,0,0,0,0,0,0,0,0,362,0.05,1.6,0.05,1.60156,0,0,0,0
21,0,0,0,0,0,0,0,0,356.15,0.05,1.61,0.05,1.61155,0,0,0,0
22,0,0,0,0,0,0,0,0,350.2,0.05,1.62,0.05,1.62154,0,0,0,0
23,0,0,0,0,0,0,0,0,344.15,0.05,1.63,0.05,1.63153,0,0,0,0
24,0,0,0,0,0,0,0,0,338,0.05,1.64,0.05,1.64152,0,0,0,0
25,0,0,0,0,0,0,0,0,331.75,0.05,1.65,0.05,1.65151,0,0,0,0
26,0,0,0,0,0,0,0,0,325.4,0.05,1.66,0.05,1.66151,0,0,0,0
27,0,0,0,0,0,0,0,0,318.95,0.05,1.67,0.05,1.6715,0,0,0,0
28,0,0,0,0,0,0,0,0,312.4,0.05,1.68,0.05,1.68149,0,0,0,0
29,0,0,0,0,0,0,0,0,305.75,0.05,1.69,0.05,1.69148,0,0,0,0
30,0,0,0,0,0,0,0,0,299,0.05,1.7,0.05,1.70147,0,0,0,0
31,0,0,0,0,0,0,0,0,292.15,0.05,1.71,0.05,1.71146,0,0,0,0
32,0,0,0,0,0,0,0,0,285.2,0.05,1.72,0.05,1.72145,0,0,0,0
33,0,0,0,0,0,0,0,0,278.15,0.05,1.73,0.05,1.73144,0,0,0,0
34,0,0,0,0,0,0,0,0,271,0.05,1.74,0.05,1.74144,0,0,0,0
35,0,0,0,0,0,0,0,0,263.75,0.05,1.75,0.05,1.75143,0,0,0,0
36,0,0,0,0,0,0,0,0,256.4,0.05,1.76,0.05,1.76142,0,0,0,0
37,0,0,0,0,0,0,0,0,248.95,0.05,1.77,0.05,1.77141,0,0,0,0
38,0,0,0,0,0,0,0,0,241.4,0.05,1.78,0.05,1.7814,0,0,0,0
39,0,0,0,0,0,0,0,0,233.75,0.05,1.79,0.05,1.7914,0,0,0,0
40,0,0,0,0,0,0,0,0,226,0.05,1.8,0.05,1.80139,0,0,0,0
41,0,0,0,0,0,0,0,0,218.15,0.05,1.81,0.05,1.81138,0,0,0,0
42,0,0,0,0,0,0,0,0,210.2,0.05,1.82,0.05,1.82137,0,0,0,0
43,0,0,0,0,0,0,0,0,202.15,0.05,1.83,0.05,1.83137,0,0,0,0
44,0,0,0,0,0,0,0,0,194,0.05,1.84,0.05,1.84136,0,0,0,0
45,0,0,0,0,0,0,0,0,185.75,0.05,1.85,0.05,1.85135,0,0,0,0
46,0,0,0,0,0,0,0,0,177.4,0.05,1.86,0.05,1.86134,0,0,0,0
47,0,0,0,0,0,0,0,0,168.95,0.05,1.87,0.05,1.87134,0,0,0,0
48,0,0,0,0,0,0,0,0,160.4,0.05,1.88,0.05,1.88133,0,0,0,0
49,0,0,0,0,0,0,0,0,151.75,0.05,1.89,0.05,1.89132,0,0,0,0
50,0,0,0,0,0,0,0,0,143,0.05,1.9,0.05,1.90132,0,0,0,0
51,0,0,0,0,0,0,0,0,134.15,0.05,1.91,0.05,1.91131,0,0,0,0
52,0,0,0,0,0,0,0,0,125.2,0.05,1.92,0.05,1.9213,0,0,0,0
53,0,0,0,0,0,0,0,0,116.15,0.05,1.93,0.05,1.93129,0,0,0,0
54,0,0,0,0,0,0,0,0,107,0.05,1.94,0.05,1.94129,0,0,0,0
55,0,0,0,0,0,0,0,0,97.75,0.05,1.95,0.05,1.95128,0,0,0,0
56,0,0,0,0,0,0,0,0,88.4,0.05,1.96,0.05,1.96128,0,0,0,0
57,0,0,0,0,0,0,0,0,78.95,0.05,1.97,0.05,1.97127,0,0,0,0
58,0,0,0,0,0,0,0,0,69.4,0.05,1.98,0.05,1.98126,0,0,0,0
59,0,0,0,0,0,0,0,0,59.75,0.05,1.99,0.05,1.99126,0,0,0,0
60,0,0,0,0,0,0,0,0,50,0.05,2,0.05,2.00125,0,0,0,0
61,0,0,0,0,0,0,0,0,442,0.05,0.6,0.05,0.604152,0,0,0,0
62,0,0,0,0,0,0,0,0,446.15,0.05,0.61,0.05,0.614085,0,0,0,0
63,0,0,0,0,0,0,0,0,450.2,0.05,0.62,0.05,0.624019,0,0,0,0
64,0,0,0,0,0,0,0,0,454.15,0.05,0.63,0.05,0.633956,0,0,0,0
