Point ID,Acceleration_0,Acceleration_1,Acceleration_2,Acceleration_Magnitude,Displacement_0,Displacement_1,Displacement_2,Displacement_Magnitude,ExtraDof1,Points_0,Points_1,Points_2,Points_Magnitude,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
0,0,0,0,0,0,0,0,0,293.004,0.999861,0.0001,0,0.999861,0,0,0,0
1,0,0,0,0,0,0,0,0,293.004,0.951421,0.0001,0,0.951421,0,0,0,0
2,0,0,0,0,0,0,0,0,293.004,1,0.0001,0,1,0,0,0,0
3,0,0,0,0,0,0,0,0,299.605,0.145686,0.0001,0,0.145686,0,0,0,0
4,0,0,0,0,0,0,0,0,299.805,0.142388,0.0001,0,0.142388,0,0,0,0
5,0,0,0,0,0,0,0,0,293.006,0.905545,0.0001,0,0.905545,0,0,0,0
6,0,0,0,0,0,0,0,0,293.006,0.905449,0.0001,0,0.905449,0,0,0,0
7,0,0,0,0,0,0,0,0,299.813,0.142272,0.0001,0,0.142272,0,0,0,0
8,0,0,0,0,0,0,0,0,293.006,0.905357,0.0001,0,0.905357,0,0,0,0
9,0,0,0,0,0,0,0,0,299.599,0.145795,0.0001,0,0.145795,0,0,0,0
10,0,0,0,0,0,0,0,0,297.818,0.180611,0.0001,0,0.180611,0,0,0,0
11,0,0,0,0,0,0,0,0,297.822,0.180519,0.0001,0,0.180519,0,0,0,0
12,0,0,0,0,0,0,0,0,298.957,0.157127,0.0001,0,0.157127,0,0,0,0
13,0,0,0,0,0,0,0,0,298.963,0.157003,0.0001,0,0.157003,0,0,0,0
14,0,0,0,0,0,0,0,0,302.368,0.107131,0.0001,0,0.107131,0,0,0,0
15,0,0,0,0,0,0,0,0,302.378,0.10702,0.0001,0,0.10702,0,0,0,0
16,0,0,0,0,0,0,0,0,297.814,0.180709,0.0001,0,0.180709,0,0,0,0
17,0,0,0,0,0,0,0,0,302.131,0.10994,0.0001,0,0.10994,0,0,0,0
18,0,0,0,0,0,0,0,0,302.248,0.108551,0.0001,0,0.108551,0,0,0,0
19,0,0,0,0,0,0,0,0,302.257,0.10844,0.0001,0,0.10844,0,0,0,0
20,0,0,0,0,0,0,0,0,300.013,0.139059,0.0001,0,0.139059,0,0,0,0
21,0,0,0,0,0,0,0,0,300.2,0.136144,0.0001,0,0.136144,0,0,0,0
22,0,0,0,0,0,0,0,0,293.279,0.488095,0.0001,0,0.488095,0,0,0,0
23,0,0,0,0,0,0,0,0,293.342,0.466698,0.0001,0,0.466698,0,0,0,0
24,0,0,0,0,0,0,0,0,299.176,0.153126,0.0001,0,0.153126,0,0,0,0
25,0,0,0,0,0,0,0,0,296.878,0.20458,0.0001,0,0.20458,0,0,0,0
26,0,0,0,0,0,0,0,0,297.109,0.198191,0.0001,0,0.198191,0,0,0,0
27,0,0,0,0,0,0,0,0,293.807,0.374992,0.0001,0,0.374992,0,0,0,0
28,0,0,0,0,0,0,0,0,293.932,0.359591,0.0001,0,0.359591,0,0,0,0
29,0,0,0,0,0,0,0,0,294.218,0.330848,0.0001,0,0.330848,0,0,0,0
30,0,0,0,0,0,0,0,0,294.374,0.317775,0.0001,0,0.317775,0,0,0,0
31,0,0,0,0,0,0,0,0,295.518,0.251996,0.0001,0,0.251996,0,0,0,0
32,0,0,0,0,0,0,0,0,295.732,0.243096,0.0001,0,0.243096,0,0,0,0
33,0,0,0,0,0,0,0,0,300.208,0.136023,0.0001,0,0.136023,0,0,0,0
34,0,0,0,0,0,0,0,0,293.017,0.781573,0.0001,0,0.781573,0,0,0,0
35,0,0,0,0,0,0,0,0,293.017,0.781459,0.0001,0,0.781459,0,0,0,0
36,0,0,0,0,0,0,0,0,301.259,0.120992,0.0001,0,0.120992,0,0,0,0
37,0,0,0,0,0,0,0,0,301.267,0.120874,0.0001,0,0.120874,0,0,0,0
38,0,0,0,0,0,0,0,0,300.575,0.130529,0.0001,0,0.130529,0,0,0,0
39,0,0,0,0,0,0,0,0,300.583,0.130409,0.0001,0,0.130409,0,0,0,0
40,0,0,0,0,0,0,0,0,302.122,0.11005,0.0001,0,0.11005,0,0,0,0
41,0,0,0,0,0,0,0,0,300.005,0.13918,0.0001,0,0.13918,0,0,0,0
42,0,0,0,0,0,0,0,0,297.113,0.198075,0.0001,0,0.198075,0,0,0,0
43,0,0,0,0,0,0,0,0,302.001,0.111514,0.0001,0,0.111514,0,0,0,0
44,0,0,0,0,0,0,0,0,293.024,0.744448,0.0001,0,0.744448,0,0,0,0
45,0,0,0,0,0,0,0,0,293.034,0.709523,0.0001,0,0.709523,0,0,0,0
46,0,0,0,0,0,0,0,0,302.484,0.105792,0.0001,0,0.105792,0,0,0,0
47,0,0,0,0,0,0,0,0,301.723,0.114957,0.0001,0,0.114957,0,0,0,0
48,0,0,0,0,0,0,0,0,301.856,0.113296,0.0001,0,0.113296,0,0,0,0
49,0,0,0,0,0,0,0,0,293.342,0.466577,0.0001,0,0.466577,0,0,0,0
50,0,0,0,0,0,0,0,0,301.425,0.118793,0.0001,0,0.118793,0,0,0,0
51,0,0,0,0,0,0,0,0,301.567,0.116945,0.0001,0,0.116945,0,0,0,0
52,0,0,0,0,0,0,0,0,302.605,0.104398,0.0001,0,0.104398,0,0,0,0
53,0,0,0,0,0,0,0,0,302.701,0.103311,0.0001,0,0.103311,0,0,0,0
54,0,0,0,0,0,0,0,0,293.008,0.861803,0.0001,0,0.861803,0,0,0,0
55,0,0,0,0,0,0,0,0,293.012,0.820658,0.0001,0,0.820658,0,0,0,0
56,0,0,0,0,0,0,0,0,301.104,0.123069,0.0001,0,0.123069,0,0,0,0
57,0,0,0,0,0,0,0,0,293.012,0.82054,0.0001,0,0.82054,0,0,0,0
58,0,0,0,0,0,0,0,0,293.046,0.676204,0.0001,0,0.676204,0,0,0,0
59,0,0,0,0,0,0,0,0,293.062,0.644871,0.0001,0,0.644871,0,0,0,0
60,0,0,0,0,0,0,0,0,300.762,0.12783,0.0001,0,0.12783,0,0,0,0
61,0,0,0,0,0,0,0,0,300.928,0.125503,0.0001,0,0.125503,0,0,0,0
62,0,0,0,0,0,0,0,0,302.814,0.102052,0.0001,0,0.102052,0,0,0,0
63,0,0,0,0,0,0,0,0,302.901,0.101085,0.0001,0,0.101085,0,0,0,0
64,0,0,0,0,0,0,0,0,300.398,0.133133,0.0001,0,0.133133,0,0,0,0
65,0,0,0,0,0,0,0,0,293.083,0.61497,0.0001,0,0.61497,0,0,0,0
66,0,0,0,0,0,0,0,0,293.109,0.586888,0.0001,0,0.586888,0,0,0,0
67,0,0,0,0,0,0,0,0,302.494,0.105673,0.0001,0,0.105673,0,0,0,0
68,0,0,0,0,0,0,0,0,299.397,0.149235,0.0001,0,0.149236,0,0,0,0
69,0,0,0,0,0,0,0,0,293.034,0.709398,0.0001,0,0.709398,0,0,0,0
70,0,0,0,0,0,0,0,0,301.577,0.116826,0.0001,0,0.116826,0,0,0,0
71,0,0,0,0,0,0,0,0,298.74,0.161237,0.0001,0,0.161237,0,0,0,0
72,0,0,0,0,0,0,0,0,301.714,0.115078,0.0001,0,0.115078,0,0,0,0
73,0,0,0,0,0,0,0,0,302.711,0.103194,0.0001,0,0.103194,0,0,0,0
74,0,0,0,0,0,0,0,0,302.595,0.104519,0.0001,0,0.104519,0,0,0,0
75,0,0,0,0,0,0,0,0,300.936,0.125385,0.0001,0,0.125385,0,0,0,0
76,0,0,0,0,0,0,0,0,293.046,0.676316,0.0001,0,0.676316,0,0,0,0
77,0,0,0,0,0,0,0,0,293.062,0.64475,0.0001,0,0.64475,0,0,0,0
78,0,0,0,0,0,0,0,0,301.096,0.123188,0.0001,0,0.123188,0,0,0,0
79,0,0,0,0,0,0,0,0,298.054,0.175319,0.0001,0,0.175319,0,0,0,0
80,0,0,0,0,0,0,0,0,298.28,0.17048,0.0001,0,0.17048,0,0,0,0
81,0,0,0,0,0,0,0,0,302.803,0.102175,0.0001,0,0.102175,0,0,0,0
82,0,0,0,0,0,0,0,0,293.279,0.488219,0.0001,0,0.488219,0,0,0,0
83,0,0,0,0,0,0,0,0,297.349,0.191911,0.0001,0,0.191911,0,0,0,0
84,0,0,0,0,0,0,0,0,297.58,0.186202,0.0001,0,0.186202,0,0,0,0
85,0,0,0,0,0,0,0,0,293.083,0.615091,0.0001,0,0.615091,0,0,0,0
86,0,0,0,0,0,0,0,0,293.141,0.560039,0.0001,0,0.560039,0,0,0,0
87,0,0,0,0,0,0,0,0,293.179,0.53485,0.0001,0,0.53485,0,0,0,0
88,0,0,0,0,0,0,0,0,296.874,0.2047,0.0001,0,0.2047,0,0,0,0
89,0,0,0,0,0,0,0,0,300.391,0.133253,0.0001,0,0.133253,0,0,0,0
90,0,0,0,0,0,0,0,0,293.109,0.586767,0.0001,0,0.586767,0,0,0,0
91,0,0,0,0,0,0,0,0,295.734,0.242978,0.0001,0,0.242978,0,0,0,0
92,0,0,0,0,0,0,0,0,293.141,0.560163,0.0001,0,0.560163,0,0,0,0
93,0,0,0,0,0,0,0,0,293.807,0.375107,0.0001,0,0.375107,0,0,0,0
94,0,0,0,0,0,0,0,0,293.225,0.510789,0.0001,0,0.510789,0,0,0,0
95,0,0,0,0,0,0,0,0,293.496,0.42692,0.0001,0,0.42692,0,0,0,0
96,0,0,0,0,0,0,0,0,293.589,0.408777,0.0001,0,0.408777,0,0,0,0
97,0,0,0,0,0,0,0,0,293.934,0.359475,0.0001,0,0.359475,0,0,0,0
98,0,0,0,0,0,0,0,0,296.644,0.211451,0.0001,0,0.211451,0,0,0,0
99,0,0,0,0,0,0,0,0,293.414,0.446214,0.0001,0,0.446214,0,0,0,0
100,0,0,0,0,0,0,0,0,293.496,0.427047,0.0001,0,0.427047,0,0,0,0
101,0,0,0,0,0,0,0,0,294.216,0.330977,0.0001,0,0.330977,0,0,0,0
102,0,0,0,0,0,0,0,0,296.182,0.226359,0.0001,0,0.226359,0,0,0,0
103,0,0,0,0,0,0,0,0,296.407,0.21882,0.0001,0,0.21882,0,0,0,0
104,0,0,0,0,0,0,0,0,297.345,0.192033,0.0001,0,0.192033,0,0,0,0
105,0,0,0,0,0,0,0,0,293.693,0.391369,0.0001,0,0.391369,0,0,0,0
106,0,0,0,0,0,0,0,0,295.516,0.252112,0.0001,0,0.252112,0,0,0,0
107,0,0,0,0,0,0,0,0,294.071,0.344778,0.0001,0,0.344778,0,0,0,0
108,0,0,0,0,0,0,0,0,293.414,0.446329,0.0001,0,0.446329,0,0,0,0
109,0,0,0,0,0,0,0,0,295.956,0.234439,0.0001,0,0.234439,0,0,0,0
110,0,0,0,0,0,0,0,0,296.178,0.226484,0.0001,0,0.226484,0,0,0,0
111,0,0,0,0,0,0,0,0,295.308,0.261509,0.0001,0,0.261509,0,0,0,0
112,0,0,0,0,0,0,0,0,294.545,0.305187,0.0001,0,0.305187,0,0,0,0
113,0,0,0,0,0,0,0,0,294.721,0.29347,0.0001,0,0.29347,0,0,0,0
114,0,0,0,0,0,0,0,0,294.91,0.282171,0.0001,0,0.282171,0,0,0,0
115,0,0,0,0,0,0,0,0,295.103,0.271681,0.0001,0,0.271681,0,0,0,0
116,0,0,0,0,0,0,0,0,293.024,0.74457,0.0001,0,0.74457,0,0,0,0
117,0,0,0,0,0,0,0,0,295.952,0.234563,0.0001,0,0.234563,0,0,0,0
118,0,0,0,0,0,0,0,0,301.415,0.118914,0.0001,0,0.118914,0,0,0,0
119,0,0,0,0,0,0,0,0,300.754,0.127948,0.0001,0,0.127948,0,0,0,0
120,0,0,0,0,0,0,0,0,299.183,0.15301,0.0001,0,0.15301,0,0,0,0
121,0,0,0,0,0,0,0,0,299.39,0.149356,0.0001,0,0.149356,0,0,0,0
122,0,0,0,0,0,0,0,0,293.008,0.861897,0.0001,0,0.861897,0,0,0,0
123,0,0,0,0,0,0,0,0,298.287,0.170337,0.0001,0,0.170337,0,0,0,0
124,0,0,0,0,0,0,0,0,301.865,0.113176,0.0001,0,0.113176,0,0,0,0
125,0,0,0,0,0,0,0,0,294.376,0.317654,0.0001,0,0.317654,0,0,0,0
126,0,0,0,0,0,0,0,0,296.411,0.218699,0.0001,0,0.218699,0,0,0,0
127,0,0,0,0,0,0,0,0,296.64,0.211571,0.0001,0,0.211571,0,0,0,0
128,0,0,0,0,0,0,0,0,295.105,0.271558,0.0001,0,0.271558,0,0,0,0
129,0,0,0,0,0,0,0,0,294.069,0.344896,0.0001,0,0.344896,0,0,0,0
130,0,0,0,0,0,0,0,0,295.306,0.261626,0.0001,0,0.261626,0,0,0,0
131,0,0,0,0,0,0,0,0,301.991,0.111631,0.0001,0,0.111631,0,0,0,0
